dist_road,dist_market,dist_border,dist_popcenter,dist_admhq,age,sex,denomination,total_cons_ann,nom_totcons_aeq,walls_material,roof_material,floor_material
9.3,169.8,75.7,8.5,0.0,31-50,Male,rural,59380.0,19032.052734375,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,59380.0,19032.052734375,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Female,rural,59380.0,19032.052734375,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,59380.0,19032.052734375,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,59380.0,19032.052734375,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,51-65,Female,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,18-30,Male,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,106938.0,17912.5625,Wood and thatch/Wood only,Thatch,Mud
9.3,169.8,75.7,8.5,0.0,31-50,Male,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,51-65,Male,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,51-65,Female,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,18-30,Female,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,0-17,Male,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
9.3,169.8,75.7,8.5,0.0,0-17,Female,rural,77215.546875,10213.6962890625,Wood and thatch/Wood only,Thatch,Parquet of polished wood
